Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
"Akoustis Technologies, Inc. (NasdaqCM:AKTS)",NasdaqCM:AKTS,Electronics (General),United States,United States,United States
"Alabama Aircraft Industries, Inc (OTCPK:AAII.Q)",OTCPK:AAII.Q,Aerospace/Defense,United States,United States,United States
Alacer Gold Corp. (TSX:ASR),TSX:ASR,Precious Metals,United States,United States,United States
Alamo Energy Corp. (OTCPK:ALME),OTCPK:ALME,Oil/Gas (Production and Exploration),United States,United States,United States
Alamo Group Inc. (NYSE:ALG),NYSE:ALG,Construction Supplies,United States,United States,United States
"Alanco Technologies, Inc. (OTCPK:ALAN)",OTCPK:ALAN,Utility (Water),United States,United States,United States
Alaric Corporation (OTCPK:HALB),OTCPK:HALB,Investments & Asset Management,United States,United States,United States
"Alarm.com Holdings, Inc. (NasdaqGS:ALRM)",NasdaqGS:ALRM,Software (System & Application),United States,United States,United States
"Alaska Air Group, Inc. (NYSE:ALK)",NYSE:ALK,Air Transport,United States,United States,United States
"Alaska Communications Systems Group, Inc. (NasdaqGS:ALSK)",NasdaqGS:ALSK,Telecom. Services,United States,United States,United States
Alaska Power & Telephone Company (OTCPK:APTL),OTCPK:APTL,Power,United States,United States,United States
Albany International Corp. (NYSE:AIN),NYSE:AIN,Machinery,United States,United States,United States
Albemarle Corporation (NYSE:ALB),NYSE:ALB,Chemical (Specialty),United States,United States,United States
Albina Community Bancorp (OTCPK:ACBC.Q),OTCPK:ACBC.Q,Banks (Regional),United States,United States,United States
"Albireo Pharma, Inc. (NasdaqCM:ALBO)",NasdaqCM:ALBO,Drugs (Biotechnology),United States,United States,United States
Alcoa Corporation (NYSE:AA),NYSE:AA,Metals & Mining,United States,United States,United States
"Aldeyra Therapeutics, Inc. (NasdaqCM:ALDX)",NasdaqCM:ALDX,Drugs (Biotechnology),United States,United States,United States
"Alector, Inc. (NasdaqGS:ALEC)",NasdaqGS:ALEC,Drugs (Biotechnology),United States,United States,United States
Alerus Financial Corporation (NasdaqCM:ALRS),NasdaqCM:ALRS,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
"Alexander & Baldwin, Inc. (NYSE:ALEX)",NYSE:ALEX,R.E.I.T.,United States,United States,United States
"Alexander's, Inc. (NYSE:ALX)",NYSE:ALX,R.E.I.T.,United States,United States,United States
Alexandria Advantage Warranty Company (OTCPK:AAWC),OTCPK:AAWC,Semiconductor,United States,United States,United States
"Alexandria Real Estate Equities, Inc. (NYSE:ARE)",NYSE:ARE,R.E.I.T.,United States,United States,United States
"Alexion Pharmaceuticals, Inc. (NasdaqGS:ALXN)",NasdaqGS:ALXN,Drugs (Biotechnology),United States,United States,United States
"Alice Consolidated Mines, Inc. (OTCPK:ACNE)",OTCPK:ACNE,Metals & Mining,United States,United States,United States
"Alico, Inc. (NasdaqGS:ALCO)",NasdaqGS:ALCO,Farming/Agriculture,United States,United States,United States
"Align Technology, Inc. (NasdaqGS:ALGN)",NasdaqGS:ALGN,Healthcare Products,United States,United States,United States
Alimco Financial Corporation (OTCPK:ALMC),OTCPK:ALMC,Investments & Asset Management,United States,United States,United States
"Alimera Sciences, Inc. (NasdaqGM:ALIM)",NasdaqGM:ALIM,Drugs (Pharmaceutical),United States,United States,United States
"ALJ Regional Holdings, Inc. (NasdaqGM:ALJJ)",NasdaqGM:ALJJ,Information Services,United States,United States,United States
